domain,uri,government,live,ssl,enforce_https,non_www,redirect,ip,hostname,ipv6,dnssec,cdn,google_apps,could_provider,server,cms,analytics,javascript,advertising,slash_data,slash_developer,data_dot_json,click_jacking_protection,content_security_policy,xss_protection,secure_cookies,strict_transport_security,agency,last_checked
acus.gov,http://acus.gov,true,true,false,false,true,,184.94.216.66,ip-184-94-216-66.name-host.com,false,false,false,false,false,Apache/2.2.27 (Unix) PHP/5.3.28,drupal,google_analytics,jquery,"",false,false,false,false,false,false,,false,Administrative Conference of the United States,2014-07-07 09:38:13 -0400
achp.gov,http://achp.gov,true,true,false,false,true,,69.164.158.8,parked.peakcolo.com,false,false,false,false,false,Apache/2.2.10 (Linux/SUSE),"","","","",false,false,false,false,false,false,,false,Advisory Council on Historic Preservation,2014-07-07 09:38:14 -0400
preserveamerica.gov,http://preserveamerica.gov,true,true,false,false,true,,69.164.158.9,parked.peakcolo.com,false,false,false,false,false,Apache/2.2.10 (Linux/SUSE),"","","","",false,false,false,false,false,false,,false,Advisory Council on Historic Preservation,2014-07-07 09:38:26 -0400
adf.gov,http://adf.gov,true,true,false,false,true,,65.205.48.41,www.usadf.gov,false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,,false,African Development Foundation,2014-07-07 09:38:37 -0400
usadf.gov,http://usadf.gov,true,true,false,false,true,,65.205.48.41,www.usadf.gov,false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,,false,African Development Foundation,2014-07-07 09:38:48 -0400
abmc.gov,http://abmc.gov,true,true,false,false,true,,50.22.12.87,si-servers.com,false,false,false,false,false,Apache/2.2.15 (Red Hat),drupal,google_analytics,jquery,"",false,false,false,false,false,false,,false,American Battle Monuments Commission,2014-07-07 09:38:52 -0400
amtrakoig.gov,http://amtrakoig.gov,true,true,false,false,true,,50.28.78.95,amtrak.bluewatermedia.com,false,false,false,false,false,Apache/2.2.15 (CentOS),drupal,google_analytics,jquery,"",false,false,false,false,false,false,false,false,AMTRAK,2014-07-07 09:38:55 -0400
www.arc.gov,http://www.arc.gov,true,true,false,false,false,,76.227.217.104,"",false,false,false,false,false,Microsoft-IIS/6.0,"",google_analytics,"","",true,false,false,false,false,false,false,false,Appalachian Regional Commission,2014-07-07 09:39:07 -0400
www.afrh.gov,https://www.afrh.gov,true,true,true,true,false,,137.227.196.86,www.afrh.gov,false,false,false,false,false,Microsoft-IIS/7.5,"",google_analytics,"","",false,false,false,false,false,false,,false,Armed Forces Retirement Home,2014-07-07 09:39:09 -0400
cia.gov,https://www.cia.gov,true,true,true,true,true,,23.66.163.36,a23-66-163-36.deploy.static.akamaitechnologies.com,false,false,akamai,false,false,,"","",jquery,"",false,false,false,false,false,false,,false,Central Intelligence Agency,2014-07-07 09:39:12 -0400
nctc.gov,http://nctc.gov,true,true,false,false,true,,198.81.129.104,www.nctc.gov,false,false,false,false,false,Apache/2.0.63 (Unix) DAV/2,"","","","",true,true,true,false,false,false,,false,Central Intelligence Agency,2014-07-07 09:39:28 -0400
abilityone.gov,http://abilityone.gov,true,true,false,false,true,,12.14.12.19,abilityone.gov,false,false,false,false,false,Microsoft-IIS/6.0,"","","","",false,false,false,false,false,false,,false,Comm for People Who Are Blind/Severly Disabled,2014-07-07 09:42:46 -0400
jwod.gov,http://jwod.gov,true,true,false,false,true,,12.14.12.19,abilityone.gov,false,false,false,false,false,Microsoft-IIS/6.0,"","","","",false,false,false,false,false,false,,false,Comm for People Who Are Blind/Severly Disabled,2014-07-07 09:42:58 -0400
